x,y,value
24,30,0
24,31,1
24,32,0
24,33,1
24,34,1
24,35,0
24,36,1
24,37,1
24,38,1
24,39,1
24,40,0
24,41,1
24,42,1
24,43,0
24,44,0
24,45,1
24,46,0
24,47,1
24,48,1
24,49,1
25,0,1
25,1,1
25,2,0
25,3,1
25,4,0
25,5,1
25,6,0
25,7,1
25,8,0
25,9,1
25,10,1
25,11,1
25,12,1
25,13,0
25,14,0
25,15,1
25,16,1
25,17,0
25,18,0
25,19,1
25,20,1
25,21,1
25,22,0
25,23,0
25,24,1
25,25,0
25,26,0
25,27,1
25,28,0
25,29,0
25,30,1
25,31,1
25,32,1
25,33,1
25,34,0
25,35,0
25,36,1
25,37,0
25,38,1
25,39,0
25,40,0
25,41,0
25,42,0
25,43,1
25,44,0
25,45,1
25,46,1
25,47,1
25,48,0
25,49,0
26,0,0
26,1,1
26,2,1
26,3,1
26,4,0
26,5,1
26,6,0
26,7,0
26,8,0
26,9,0
26,10,1
26,11,1
26,12,0
26,13,1
26,14,0
26,15,0
26,16,0
26,17,0
26,18,1
26,19,1
26,20,1
26,21,0
26,22,1
26,23,0
26,24,1
26,25,1
26,26,1
26,27,0
26,28,1
26,29,1
26,30,0
26,31,0
26,32,1
26,33,0
26,34,1
26,35,0
26,36,0
26,37,1
26,38,0
26,39,0
26,40,0
26,41,0
26,42,0
26,43,1
26,44,0
26,45,0
26,46,1
26,47,0
26,48,1
26,49,1
27,0,1
27,1,0
27,2,0
27,3,1
27,4,0
27,5,0
27,6,1
27,7,0
27,8,0
27,9,0
27,10,1
27,11,0
27,12,0
27,13,1
27,14,0
27,15,1
27,16,1
27,17,0
27,18,0
27,19,0
27,20,0
27,21,0
27,22,1
27,23,0
27,24,0
27,25,0
27,26,0
27,27,0
27,28,0
27,29,1
27,30,1
27,31,0
27,32,1
27,33,1
27,34,0
27,35,0
27,36,1
27,37,0
27,38,1
27,39,0
27,40,0
27,41,0
27,42,0
27,43,0
27,44,1
27,45,1
27,46,1
27,47,1
27,48,0
27,49,1
28,0,0
28,1,0
28,2,0
28,3,0
28,4,1
28,5,0
28,6,1
28,7,0
28,8,0
28,9,0
28,10,0
28,11,1
28,12,0
28,13,1
28,14,0
28,15,0
28,16,1
28,17,0
28,18,0
28,19,1
28,20,1
28,21,0
28,22,0
28,23,1
28,24,1
28,25,1
28,26,0
28,27,0
28,28,1
28,29,0
28,30,1
28,31,1
28,32,0
28,33,0
28,34,1
28,35,1
28,36,0
28,37,0
28,38,0
28,39,0
28,40,0
28,41,1
28,42,0
28,43,1
28,44,1
28,45,0
28,46,1
28,47,0
28,48,0
28,49,0
29,0,0
29,1,1
29,2,0
29,3,1
29,4,1
29,5,1
29,6,0
29,7,1
29,8,1
29,9,1
29,10,1
29,11,1
29,12,1
29,13,0
29,14,0
29,15,0
29,16,0
29,17,1
29,18,0
29,19,1
29,20,0
29,21,0
29,22,1
29,23,1
29,24,0
29,25,0
29,26,0
29,27,1
29,28,0
29,29,0
29,30,0
29,31,1
29,32,0
29,33,1
29,34,1
29,35,1
29,36,0
29,37,0
29,38,1
29,39,1
29,40,1
29,41,0
29,42,0
29,43,1
29,44,1
29,45,0
29,46,0
29,47,0
29,48,1
29,49,1
30,0,1
30,1,1
30,2,1
30,3,1
30,4,1
30,5,0
30,6,1
30,7,1
30,8,0
30,9,1
30,10,1
30,11,1
30,12,1
30,13,0
30,14,0
30,15,1
30,16,1
30,17,0
30,18,1
30,19,0
30,20,1
30,21,0
30,22,0
30,23,0
30,24,0
30,25,0
30,26,0
30,27,1
30,28,1
30,29,1
30,30,0
30,31,0
30,32,1
30,33,0
30,34,1
30,35,0
30,36,1
30,37,1
30,38,0
30,39,0
30,40,0
30,41,1
30,42,0
30,43,1
30,44,1
30,45,0
30,46,0
30,47,0
30,48,1
30,49,1
31,0,0
31,1,1
31,2,0
31,3,1
31,4,0
31,5,1
31,6,1
31,7,0
31,8,0
31,9,1
31,10,1
31,11,1
31,12,1
31,13,0
31,14,0
31,15,1
31,16,1
31,17,0
31,18,1
31,19,1
31,20,0
31,21,1
31,22,0
31,23,1
31,24,0
31,25,1
31,26,0
31,27,1
31,28,1
31,29,0
31,30,0
31,31,0
31,32,0
31,33,0
31,34,1
31,35,0
31,36,1
31,37,1
31,38,1
31,39,0
31,40,0
31,41,1
31,42,1
31,43,1
31,44,1
31,45,1
31,46,0
31,47,1
31,48,1
31,49,1
32,0,0
32,1,0
32,2,0
32,3,0
32,4,0
32,5,1
32,6,0
32,7,1
32,8,0
32,9,0
32,10,1
32,11,1
32,12,0
32,13,0
32,14,1
32,15,0
32,16,0
32,17,0
32,18,0
32,19,0
32,20,0
32,21,1
32,22,0
32,23,0
32,24,1
32,25,0
32,26,0
32,27,0
32,28,1
32,29,1
32,30,1
32,31,0
32,32,0
32,33,1
32,34,0
32,35,1
32,36,0
32,37,1
32,38,0
32,39,1
32,40,1
32,41,0
32,42,0
32,43,0
32,44,1
32,45,0
32,46,0
32,47,0
32,48,0
32,49,0
33,0,0
33,1,1
33,2,0
33,3,0
33,4,0
33,5,0
33,6,0
33,7,1
33,8,0
33,9,0
33,10,1
33,11,1
33,12,0
33,13,1
33,14,1
33,15,1
33,16,0
33,17,1
33,18,0
33,19,1
33,20,0
33,21,1
33,22,1
33,23,1
33,24,1
33,25,0
33,26,1
33,27,0
33,28,0
33,29,1
33,30,1
33,31,1
33,32,0
33,33,1
33,34,1
33,35,0
33,36,0
33,37,0
33,38,0
33,39,0
33,40,1
33,41,1
33,42,1
33,43,1
33,44,0
33,45,0
33,46,1
33,47,1
33,48,1
33,49,1
34,0,1
34,1,1
34,2,1
34,3,0
34,4,1
34,5,0
34,6,1
34,7,0
34,8,1
34,9,0
34,10,0
34,11,1
34,12,0
34,13,0
34,14,0
34,15,1
34,16,1
34,17,1
34,18,0
34,19,1
34,20,1
34,21,0
34,22,0
34,23,1
34,24,1
34,25,1
34,26,0
34,27,0
34,28,0
34,29,1
34,30,1
34,31,1
34,32,1
34,33,1
34,34,1
34,35,0
34,36,1
34,37,0
34,38,1
34,39,0
34,40,1
34,41,0
34,42,1
34,43,1
34,44,1
34,45,0
34,46,1
34,47,1
34,48,1
34,49,0
35,0,0
35,1,0
35,2,1
35,3,1
35,4,0
35,5,1
35,6,0
35,7,1
35,8,1
35,9,0
35,10,1
35,11,0
35,12,1
35,13,1
35,14,1
35,15,0
35,16,0
35,17,0
35,18,1
35,19,1
35,20,1
35,21,0
35,22,0
35,23,0
35,24,1
35,25,0
35,26,0
35,27,0
35,28,1
35,29,1
35,30,1
35,31,0
35,32,1
35,33,0
35,34,0
35,35,0
35,36,0
35,37,0
35,38,0
35,39,1
35,40,0
35,41,0
35,42,0
35,43,0
35,44,1
35,45,0
35,46,1
35,47,0
35,48,0
35,49,0
36,0,0
36,1,1
36,2,1
36,3,0
36,4,0
36,5,1
36,6,1
36,7,0
36,8,1
36,9,1
36,10,0
36,11,1
36,12,1
36,13,1
36,14,0
36,15,0
36,16,1
36,17,0
36,18,1
36,19,1
36,20,1
36,21,0
36,22,0
36,23,1
36,24,0
36,25,1
36,26,0
36,27,1
36,28,0
36,29,1
36,30,1
36,31,1
36,32,0
36,33,0
36,34,1
36,35,1
36,36,1
36,37,0
36,38,0
36,39,1
36,40,1
36,41,0
36,42,0
36,43,1
36,44,1
36,45,1
36,46,1
36,47,0
36,48,0
36,49,1
37,0,0
37,1,1
37,2,0
37,3,1
37,4,0
37,5,1
37,6,0
37,7,0
37,8,1
37,9,0
37,10,0
37,11,1
37,12,1
37,13,0
37,14,0
37,15,1
37,16,0
37,17,1
37,18,0
37,19,0
37,20,1
37,21,0
37,22,0
37,23,1
37,24,0
37,25,1
37,26,1
37,27,1
37,28,1
37,29,0
37,30,0
37,31,1
37,32,0
37,33,0
37,34,1
37,35,0
37,36,0
37,37,0
37,38,0
37,39,0
37,40,1
37,41,1
37,42,1
37,43,1
37,44,1
37,45,1
37,46,1
37,47,1
37,48,0
37,49,0
38,0,1
38,1,1
38,2,1
38,3,0
38,4,1
38,5,0
38,6,1
38,7,0
38,8,1
38,9,1
38,10,0
38,11,1
38,12,1
38,13,1
38,14,0
38,15,1
38,16,1
38,17,1
38,18,0
38,19,0
38,20,1
38,21,0
38,22,0
38,23,1
38,24,1
38,25,1
38,26,0
38,27,0
38,28,0
38,29,0
38,30,0
38,31,0
38,32,1
38,33,0
38,34,1
38,35,0
38,36,1
38,37,0
38,38,1
38,39,0
38,40,1
38,41,0
38,42,0
38,43,1
38,44,0
38,45,0
38,46,0
38,47,1
38,48,1
38,49,0
39,0,1
39,1,0
39,2,1
39,3,0
39,4,1
39,5,0
39,6,1
39,7,1
39,8,0
39,9,0
39,10,1
39,11,0
39,12,0
39,13,1
39,14,0
39,15,1
39,16,0
39,17,0
39,18,1
39,19,1
39,20,0
39,21,1
39,22,0
39,23,0
39,24,0
39,25,1
39,26,0
39,27,0
39,28,0
39,29,1
39,30,0
39,31,1
39,32,1
39,33,0
39,34,1
39,35,0
39,36,1
39,37,1
39,38,0
39,39,0
39,40,1
39,41,1
39,42,0
39,43,0
39,44,0
39,45,1
39,46,1
39,47,1
39,48,0
39,49,1
40,0,0
40,1,1
40,2,1
40,3,1
40,4,1
40,5,1
40,6,1
40,7,0
40,8,1
40,9,0
40,10,0
40,11,1
40,12,0
40,13,0
40,14,0
40,15,1
40,16,1
40,17,0
40,18,0
40,19,1
40,20,0
40,21,0
40,22,0
40,23,0
40,24,0
40,25,1
40,26,1
40,27,0
40,28,0
40,29,0
40,30,0
40,31,1
40,32,1
40,33,0
40,34,1
40,35,1
40,36,1
40,37,1
40,38,1
40,39,1
40,40,1
40,41,1
40,42,0
40,43,1
40,44,1
40,45,0
40,46,1
40,47,0
40,48,0
40,49,1
41,0,1
41,1,0
41,2,0
41,3,1
41,4,1
41,5,1
41,6,0
41,7,0
41,8,0
41,9,0
41,10,0
41,11,0
41,12,1
41,13,1
41,14,1
41,15,0
41,16,1
41,17,1
41,18,0
41,19,0
41,20,1
41,21,0
41,22,1
41,23,0
41,24,0
41,25,0
41,26,1
41,27,0
41,28,0
41,29,0
41,30,1
41,31,0
41,32,1
41,33,1
41,34,0
41,35,0
41,36,1
41,37,1
41,38,0
41,39,0
41,40,1
41,41,0
41,42,0
41,43,1
41,44,0
41,45,0
41,46,1
41,47,0
41,48,1
41,49,1
42,0,0
42,1,0
42,2,0
42,3,0
42,4,0
42,5,1
42,6,0
42,7,1
42,8,1
42,9,0
42,10,1
42,11,1
42,12,1
42,13,1
42,14,1
42,15,0
42,16,0
42,17,0
42,18,0
42,19,1
42,20,1
42,21,0
42,22,0
42,23,1
42,24,0
42,25,0
42,26,1
42,27,0
42,28,1
42,29,1
42,30,0
42,31,1
42,32,1
42,33,0
42,34,1
42,35,0
42,36,1
42,37,0
42,38,0
42,39,0
42,40,1
42,41,0
42,42,1
42,43,1
42,44,0
42,45,1
42,46,1
42,47,1
42,48,1
42,49,0
43,0,0
43,1,1
43,2,1
43,3,0
43,4,1
43,5,1
43,6,1
43,7,1
43,8,1
43,9,0
43,10,0
43,11,1
43,12,1
43,13,0
43,14,0
43,15,1
43,16,0
43,17,0
43,18,0
43,19,1
43,20,1
43,21,1
43,22,1
43,23,1
43,24,1
43,25,0
43,26,1
43,27,0
43,28,0
43,29,1
43,30,1
43,31,0
43,32,0
43,33,1
43,34,0
43,35,0
43,36,1
43,37,0
43,38,0
43,39,1
43,40,0
43,41,1
43,42,0
43,43,0
43,44,0
43,45,1
43,46,0
43,47,0
43,48,0
43,49,0
44,0,0
44,1,0
44,2,0
44,3,1
44,4,0
44,5,1
44,6,0
44,7,0
44,8,1
44,9,0
44,10,1
44,11,1
44,12,0
44,13,0
44,14,0
44,15,0
44,16,0
44,17,0
44,18,1
44,19,1
44,20,1
44,21,0
44,22,1
44,23,0
44,24,0
44,25,1
44,26,0
44,27,1
44,28,0
44,29,1
44,30,1
44,31,0
44,32,0
44,33,0
44,34,1
44,35,1
44,36,0
44,37,0
44,38,1
44,39,0
44,40,1
44,41,1
44,42,0
44,43,1
44,44,0
44,45,1
44,46,0
44,47,0
44,48,0
44,49,1
45,0,1
45,1,0
45,2,1
45,3,1
45,4,1
45,5,0
45,6,1
45,7,1
45,8,0
45,9,1
45,10,1
45,11,1
45,12,0
45,13,0
45,14,1
45,15,1
45,16,1
45,17,0
45,18,1
45,19,1
45,20,1
45,21,1
45,22,0
45,23,0
45,24,0
45,25,0
45,26,0
45,27,0
45,28,1
45,29,1
45,30,1
45,31,1
45,32,1
45,33,0
45,34,0
45,35,1
45,36,1
45,37,0
45,38,1
45,39,0
45,40,0
45,41,0
45,42,1
45,43,1
45,44,1
45,45,0
45,46,0
45,47,0
45,48,0
45,49,0
46,0,1
46,1,1
46,2,0
46,3,0
46,4,1
46,5,1
46,6,0
46,7,1
46,8,0
46,9,0
46,10,0
46,11,0
46,12,1
46,13,1
46,14,1
46,15,1
46,16,1
46,17,1
46,18,1
46,19,1
46,20,1
46,21,1
46,22,0
46,23,1
46,24,1
46,25,0
46,26,1
46,27,0
46,28,0
46,29,0
46,30,0
